Company,State,District,Address,Contact,Website,Industry Certification,Printing Sector Category (Offset / Digital / Screen / Flexo / Gravure / Packaging / Publishing / 3D / Label / Signage),"Core Activities (Prepress, Production, Finishing, Quality Control, Design, R&D)"
EROMAX PRINTING & PACKAGING SDN. BHD.,KEDAH,Lunas,"NO. 552-557 JALAN LOBAK 13, TAMAN LOBAK INDAH, 09600 LUNAS, KEDAH.",,When available,,,
FIKRAH BAKTI ENTERPRISE,KEDAH,Alor Setar,"NO. 36, TINGKAT BAWAH, JALAN SHAHAB 6, SHAHAB PERDANA, 05150",,When available,,,
FUAD TRADING INDUSTRY SDN. BHD.,KEDAH,Alor Setar,"NO. 7, TAMAN SULTAN ABDUL HALIM, JALAN TANJONG BENDAHARA, 05300 ALOR SETAR, KEDAH.",,When available,,,
GH PACKAGING SDN. BHD.,KEDAH,Sungai Petani,"PLOT 32, JALAN 8, BAKAR ARANG INDUSTRIAL ESTATE, 08000 SUNGAI PETANI, KEDAH.",,When available,,,
GRAND PRIVILEGED (M) SDN. BHD.,KEDAH,Jitra,"LOT 52, TAMAN IKS KEDA NAPOH, 06000",,When available,,,
HITA PRINTER ENTERPRISE,KEDAH,Alor Setar,"NO. 126, TAMAN TUNKU HOSNA, JALAN TANJUNG BENDAHARA, 05300",,When available,,,
HOEY SHEAN ENTERPRISE SDN. BHD.,KEDAH,Sungai Petani,"NO. 6, JALAN PETANI, 08000 SUNGAI PETANI, KEDAH",,When available,,,
INDO-LANGKAWI PRINTING SDN. BHD.,KEDAH,Langkawi,"LOT 12, TINGKAT BAWAH, TAMAN SRI LANGKAWI, KUAH, 07000 LANGKAWI, KEDAH.",,When available,,,
INOREEN SDN. BHD.,KEDAH,Alor Setar,"NO. 25, BATU 2 JALAN LANGGAR, 05460 ALOR SETAR, KEDAH",,When available,,,
INSPIRATION GRAPHIC & DESIGN,KEDAH,Alor Setar,"NO. 272, TINGKAT BAWAH KOMPLEKS KOMERSIAL DAN TERMINAL BAS, JALAN SULTANAH SAMBUNGAN, 05100 ALOR SETAR, KEDAH.",,When available,,,
JENANI ARTS,KEDAH,Sungai Petani,"NO. 84-R JALAN PERGAM, 08000",,When available,,,
KAHOCK PLASTIC TRADING,KEDAH,Kulim,"NO. 22, TAMAN KENYALANG SATU, 09000",,When available,,,
KEDAH PRESS,KEDAH,Alor Setar,"NO. 15, JALAN PENJARA LAMA, 05000",,When available,,,
KKL PACKAGES SDN. BHD.,KEDAH,Lunas,"PLOT 3, JALAN MAKMUR 1/7, KAW. IND. TAMAN MAKMUR, SUNGAI SELUANG, 09600",,When available,,,
KMK PRINTING & GRAPHIC SDN. BHD.,KEDAH,Kuala Ketil,"LOT 87, KAWASAN PERUSAHAAN KUALA KETIL, 09300 KUALA KETIL, KEDAH.",,When available,,,
KUALA MUDA PRINTING CO. SDN. BHD.,KEDAH,Sungai Petani,"NO. 5, JALAN BAKAR ARANG, 08000",,When available,,,
KULIM PRINTING PRESS SDN.BHD.,KEDAH,Kulim,"NO. 66, JALAN RAYA, 09000 KULIM,",,When available,,,
KWENG HONG PACKAGING INDUSTRY SDN. BHD.,KEDAH,Sungai Petani,"PLOT 12, JALAN PKNK 1/2, SUNGAI PETANI INDUSTRIAL ESTATE, 08000 SUNGAI PETANI",,When available,,,
LA STAR PRINTING ENTERPRISE,KEDAH,Alor Setar,"NO.A 127, TAMAN BANDAR BARU MERGONG, JALAN KEBARUNG 1, 06250 ALOR SETAR, KEDAH.",,When available,,,
LANTIS ENTERPRISE SDN. BHD.,KEDAH,Langkawi,"NO. 53, TINGKAT 1, BANGUNAN PUSTAKA UMMI, PERSIARAN BUNGA RAYA, LANGKAWI MALL, 07000",,When available,,,
LANTIS ENTERPRISE SDN. BHD.,KEDAH,Langkawi,"NO. 53, TINGKAT 1, BANGUNAN PUSTAKA UMMI, PERSIARAN BUNGA RAYA, LANGKAWI MALL, 07000",,When available,,,
MIYAO - TOKI (M) SDN. BHD.,KEDAH,Kulim,"LOT 67, KULIM INDUSTRIAL ESTATE, 09000 KULIM, KEDAH",,When available,,,
MUN LOON PAPER CONVERTING SDN. BHD.,KEDAH,Sungai Petani,"NO. PLOT 101, KAWASAN PERUSAHAAN LPK 2, TAMAN RIA JAYA, 08000 SUNGAI PETANI, KEDAH",,When available,,,
NORTH WEST PRINTING,KEDAH,Alor Setar,"NO. 2452 A, TAMAN LUMBA KUDA, 05250 ALOR STAR, KEDAH.",,When available,,,
OEMAX TYPESETTING & PRINTING CENTRE,KEDAH,Alor Setar,"NO.102-P.N.M, SEBERANG JALAN PUTRA, MERGONG INDUSTRIAL ESTATE, 05150",,When available,,,
ONE TOUCH PRINT & GRAPHIC,KEDAH,Jitra,"NO. C-03, ARKED MARA JITRA, JALAN SUNGAI KOROK, 06000",,When available,,,
OOI AH KOW PRESS SDN. BHD.,KEDAH,Sungai Petani,"NO. 5E, JALAN KAMPUNG BARU, 08000",,When available,,,
PAAVAI ENTERPRISE,KEDAH,Kulim,"NO. 509, LORONG CENGAI HIJAU, TAMAN BERSATU, 09000",,When available,,,
PEACE PACK SDN. BHD.,KEDAH,Lunas,"NO. 47, 48 & 49, JALAN MAKMUR 2, TAMAN INDUSTRI MAKMUR, 09600 LUNAS, KEDAH.",,When available,,,
PENERBITAN DAN PERNIAGAAN RAHA SDN. BHD.,KEDAH,Alor Setar,"58-D, SEBERANG JALAN PUTRA, 05150 ALOR SETAR, KEDAH.",,When available,,,
PERCETAKAN ALOR SETAR SDN. BHD.,KEDAH,Alor Setar,"NO. 95-C, MERGONG INDUSTRIAL ESTATE, SEBERANG JALAN PUTRA, 05150 ALOR SETAR, KEDAH.",,When available,,,
PERCETAKAN GAYA WARNA SDN. BHD.,KEDAH,Kulim,"NO. 10, JALAN KEMUNTING 4, TAMAN KEMUNTING, 09000",,When available,,,
PERCETAKAN GR INDAH,KEDAH,Kulim,"NO. 479, JALAN KOTA KANARI 3, TAMAN KOTA KENARI, 09000",,When available,,,
PERCETAKAN KALIBER,KEDAH,Alor Setar,"NO. 55, GROUND & 1st FLOOR, TAMAN INDUSTRI RINGAN, JALAN GANGSA, 05150",,When available,,,
PERCETAKAN KUMARA,KEDAH,Kulim,"NO. 511, LORONG CENGAI HIJAU, TAMAN BERSATU, 09000 KULIM, KEDAH.",,When available,,,
PERCETAKAN MAKMOR SDN. BHD.,KEDAH,Sungai Petani,"NO. 24-B-C-D, LORONG ZAMRUD 2/2, TAMAN PEKAN BARU, 08000",,When available,,,
PERCETAKAN MEWAH PEK SDN. BHD.,KEDAH,Lunas,"PLOT 48,LORONG PERUSAHAAN 6a KAWASAN PERUSAHAAN KULIM 09000 KULIM, KEDAH",,When available,,,
PERCETAKAN MOFAD,KEDAH,Jitra,"NO. 18, TAMAN SURIA 2, 06000 JITRA, KEDAH.",,When available,,,
PERCETAKAN PELADANG (M) SDN. BHD.,KEDAH,Sungai Petani,"LOT 1401, BAKAR ARANG, 08000 SUNGAI PETANI,",,When available,,,
PERCETAKAN RODI SDN. BHD.,KEDAH,Alor Setar,"NO. 136, RUMAH KEDAI TAMAN WIRA MERGONG, JALAN SULTANAH BAHIYAH, 05350",,When available,,,
PERCETAKAN SIARAN SDN. BHD.,KEDAH,Alor Setar,"NO. 308, KAWASAN PERUSAHAAN MERGONG 2, 05150 ALOR SETAR, NO. 36, TAMAN INDUSTRI RINGAN MERGONG, LORONG PERAK 18, 05150 ALOR SETAR, KEDAH.",,When available,,,
PERCETAKAN UPCAS SDN. BHD.,KEDAH,Sungai Petani,"LOT 7 & 8, JALAN MAKMUR 1, KAWASAN PERINDUSTRIAN RINGAN BUKIT MAKMUR, 08000",,When available,,,
PERCETAKAN UPCAS SDN. BHD.,KEDAH,Alor Setar,"NO. 45, SEBERANG JALAN PUTERA, 05150 ALOR SETAR,",,When available,,,
PERCETAKAN USTARAS SDN. BHD.,KEDAH,Alor Setar,"NO. 871-872, JALAN CENDERAWASIH SATU, TAMAN NURI, JALAN DATUK KUMBAR, 05300",,When available,,,
PERCETAKAN WAN,KEDAH,Sungai Petani,"NO. 55A, JALAN SEKARAT, 08000 SUNGAI PETANI, KEDAH",,When available,,,
PERNIAGAAN & PERCETAKAN CONCODE,KEDAH,Gurun,"NO. 13, JALAN JERAI EMAS 2, TAMAN JERAI EMAS, 08300 GURUN,",,When available,,,
PERNIAGAAN JUTACETAK,KEDAH,Sungai Petani,"NO. 186, TAMAN INTAN, 08000",,When available,,,
PPH PRINTING & PACKAGING ( KULIM ) SDN. BHD.,KEDAH,Kulim,"PLOT 75, KULIM INDUSTRIAL ESTATE, 09000 KULIM, KEDAH.",,When available,,,
PRINTAX PRINTING,KEDAH,Sungai Petani,"A-21, LORONG SEJAHTERA 7/1, TAMAN SEJAHTERA, 08000",,When available,,,
PUBLIC PRESS (KEDAH) SDN. BHD.,KEDAH,Alor Setar,"NO. 7, 8, 9 & 10, BATU 4, JALAN SUNGAI KOROK, 05400 ALOR SETAR, KEDAH",,When available,,,
PURNAMA MURNI SDN. BHD.,KEDAH,Alor Setar,"B5, KOMPLEKS SME BANK, 05150 ALOR SETAR, KEDAH.",,When available,,,
PUTIK SENJA SDN. BHD.,KEDAH,Changlun,"NO. 1, TAMAN SRI CHANGLUN, 06010",,When available,,,
Q - PRESS (M) SDN. BHD.,KEDAH,Kulim,"NO. 4, LOT 53, KAWASAN PERUSAHAAN PKNK, 09000",,When available,,,
QUALITY PRINT CENTRE SDN. BHD.,KEDAH,Kulim,"NO. 521 & 522, JALAN WAJA 4, TAMAN INDUSTRI WAJA, 09000 KULIM, KEDAH.",,When available,,,
S.P. FASTPRINT,KEDAH,Sungai Petani,"NO. 7,8,32 & 33 KOMPLEKS SERI TEMIN, JALAN IBRAHIM, 08000 SUNGAI PETANI, KEDAH.",,When available,,,
SAINT PRINT ENTERPRISE (M) SDN. BHD.,KEDAH,Sungai Petani,"NO. 81, JALAN SUNGAI TUKANG 2, KAWASAN PERUSAHAAN SUNGAI TUKANG, 08000 SUNGAI PETANI, KEDAH. NO. 81, JALAN SUNGAI TUKANG 2, KAWASAN PERUSAHAAN SUNGAI TUKANG, 08000 SUNGAI PETANI, KEDAH",,When available,,,
SHAMIMCON ENGINEERING (M) SDN. BHD.,KEDAH,Alor Setar,"NO. 35,36,37 & 38, TAMAN MERGONG INDAH, JALAN SULTANAH SAMBUNGAN, 05350",,When available,,,
SHU BERTECH ENTERPRISE,KEDAH,Alor Setar,"A-25, TAMAN SAGA, JALAN SAGA RIA 3, JALAN ALOR MENGKUDU, 05400 ALOR SETAR",,When available,,,
SINLIPLAS SDN. BHD.,KEDAH,Kulim,"PT 1,LOT 57A, LORONG PERUSAHAAN 5, KAWASAN PERUSAHAAN KULIM, 09000",,When available,,,
SKY INDUSTRY PRINTING SDN. BHD.,KEDAH,Kulim,"NO. 97, LORONG SEMARAK 4, TAMAN SEMARAK ( LIGHT INDUSTRY AREA ), 09000 KULIM, KEDAH",,When available,,,
SUNRISE POWER SDN. BHD.,KEDAH,Kulim,"NO. 511 & 512, JALAN PERUSAHAAN INDUSTRI WAJA, 09000 KULIM, KEDAH.",,When available,,,
SUNWAY PAPER PRODUCT,KEDAH,Jitra,"NO. 128, TAMAN DESA DAMAI, 06000 JITRA, KEDAH.",,When available,,,
SYARIKAT CHETAK ASIA,KEDAH,Alor Setar,"NO. 72, SEBERANG JALAN PUTRA, 05150",,When available,,,
TEGOH SALES & SERVICES SDN. BHD.,KEDAH,Baling,"G4,PEKAN BARU,JALAN SYED SHEH, 09100 BALING,KEDAH.",,When available,,,
THEAN TEIK PRINTERS SDN. BHD.,KEDAH,Alor Setar,"NO. 111, JALAN PEKAN MELAYU, 05000",,When available,,,
Thong Guan Plastic & Paper Industries Sdn. Bhd.,KEDAH,Sungai Petani,"NO. 52, JALAN PKNK 1/6, KAWASAN PERUSAHAAN SUNGAI PETANI, 08000",,When available,,,
Thunder Print Sdn. Bhd.,Kedah,Kuala Muda,"No. 1, Jalan Taman Ria Jaya, Taman Ria Jaya Light Industrial Park, 08000 Sungai Petani",internship@thunderprint.com.my,www.thunderprint.com.my,ISO 9001:2000; ISO 14001:2015; FSC® CoC Certified; Sin Chew Business Excellence Award; Golden Bull Award; Nanyang Business Excellence Award,,
TYM & SONS SDN. BHD.,KEDAH,Lunas,"PLOT 867 & 868, LORONG MAKMUR 13/I, KAWASAN INDUSTRI TAMAN MAKMUR, 09600 LUNAS, KEDAH.",,When available,,,
UNITED BLUE STAR PLASTICS SDN. BHD.,KEDAH,Lunas,"PLOT 1031, LORONG MAKMUR 4/7, KAWASAN PERUSAHAAN TAMAN MAKMUR, 09600",,When available,,,
YIJO ENTERPRISE SDN BHD,KEDAH,Alor Setar,"NO. 112-C, JALAN KAMPUNG PERAK, 05100",,When available,,,
YUSRAN PUBLISHING HOUSE,KEDAH,Sungai Petani,"NO. 6, LEBUH ZAMRUD 1, TAMAN PEKAN BARU, 08000 SG. PETANI, KEDAH.",,When available,,,
ZALINY ENTERPRISE,KEDAH,Alor Setar,"NO. 971, KOMPLEKS PERUDA BARU, JALAN SULTAN BADLISHAH, 05000",,When available,,,
ZAPPLE PRINT & TRADING,KEDAH,Alor Setar,"948, PARAS BAWAH, KOMPLEK PERUDA BARU, JALAN SULTAN BADLISHAH, 05000",,When available,,,
A. WANER PLASTIC MANUFACTURING (M) SDN. BHD.,PULAU PINANG,Perai,"NO. 22, LORONG NAGASARI 4, TAMAN NAGASARI, 13600",,When available,,,
ACTIKA PRINTING ENTERPRISE,PULAU PINANG,Butterworth,"17, LORONG TERAS JAYA 2, KAWASAN INDUSTRI RINGAN TERAS JAYA, 13400 BUTTERWORTH, PULAU PINANG.",,When available,,,
AE LABELS TRADING.,PULAU PINANG,Bukit Mertajam,"NO. 2087, GROUND FLOOR, JALAN ROZHAN, TAMAN IMPIAN RIA, ALMA, 14000 BUKIT MERTAJAM, PULAU PINANG.",,When available,,,
AIDENT CORPORATION SDN. BHD.,PULAU PINANG,Bukit Mertajam,"NO. 790, JALAN PERINDUSTRIAN BUKIT MINYAK 4, BUKIT MINYAK INDUSTRIAL PARK, 14000 BUKIT MERTAJAM, PULAU PINANG",,When available,,,
AIK HIN PLASTIK KOMPENI,PULAU PINANG,Butterworth,"NO. 5498, TINGKAT MAK MANDIN 4, KAWASAN PERUSAHAAN MAK MANDIN, 13400",,When available,,,
AIK JOO CAN FACTORY SDN. BHD.,PULAU PINANG,Butterworth,"NO. 4829, TINGKAT MAK MANDIN 5, MAK MANDIN INDUSTRIAL ESTATE, 13400 BUTTERWORTH, PULAU PINANG.",,When available,,,
ALTRAPAC SDN. BHD.,PULAU PINANG,Butterworth,"NO. 9, LORONG SUNGAI LOKAN 3/2, KAWASAN PERINDUSTRIAN SUNGAI LOKAN, 13800 BUTTERWORTH, PULAU PINANG.",,When available,,,
AMB PACKAGING (PENANG) SDN. BHD.,PULAU PINANG,Seberang Perai,"PLOT 69, LORONG PERUSAHAAN MAJU 6, TAMAN PERINDUSTRIAN BUKIT TENGAH, 13600 SEBERANG PERAI,PULAU PINANG.",,When available,,,
AXISHINE SDN. BHD.,PULAU PINANG,Perai,"NO. 4&6, LORONG NAGASARI 24, TAMAN NAGASARI, 13600 PERAI",,When available,,,
AZIMAT ADVANCE VENTURES,PULAU PINANG,Permatang Pauh,"TBP 6614, MUKIM 4, KAMPUNG PERTAMA, 13500 PERMATANG PAUH, PULAU PINANG.",,When available,,,
BAGAN PRINTERS SDN. BHD.,PULAU PINANG,Butterworth,"NO. 6837, MAK MANDIN INDUSTRIAL ESTATE, 13400.
NO. 5887, MAK MANDIN INDUSTRIAL ESTATE, 13400 BUTTERWORTH, PULAU PINANG",,When available,,,
BAN LI PRINTING SDN. BHD.,PULAU PINANG,Simpang Ampat,"NO. 15, LORONG SERULING 3, TAMAN PERINDUSTRIAN VALDOR, 14200",,When available,,,
BANGUAN PACKAGES (M) SDN. BHD.,PULAU PINANG,Butterworth,"NO. 5429, MK. 14, JALAN BAGAN LALLANG, 13400 BUTTERWORTH, PULAU PINANG",,When available,,,
BEAUTY CARD (M) SDN. BHD.,PULAU PINANG,Batu Maung,"NO. 10, JALAN DATO KOYAH, 10050 PULAU PINANG",,When available,,,
BENLYS PLASTICS INDUSTRIES SDN. BHD.,PULAU PINANG,Butterworth,"NO. 22, LORONG MAK MANDIN SATU, JALAN PERMATANG PAUH, 13400 BUTTERWORTH, PULAU PINANG.",,When available,,,
BRADY TECHNOLOGY SDN. BHD.,PULAU PINANG,Bayan Lepas,"PLOT 6, HILIR SUNGAI KELUANG 4, BAYAN LEPAS FREE INDUSTRIAL ZONE, PHASE 4, 11900 BAYAN LEPAS, PULAU PINANG",,When available,,,
BRIGHT LABELS PRINTING SDN. BHD.,PULAU PINANG,Seberang Perai Tengah,"NO. 82, LLEBUH KOTA PERMAI 1, TAMAN KOTA PERMAI, BUKIT MERTAJAM, 14000 SEBERANG PERAI TENGAH, PULAU PINANG.",,When available,,,
BRILLIANT ACHIEVEMENT SDN. BHD,PULAU PINANG,Bukit Mertajam,"NO. 2057, JALAN IKS, TAMAN IKS PERDA, BUKIT MINYAK, 14000 BUKIT MERTAJAM, PULAU PINANG.",,When available,,,
BUTTERWORTH PAPER CUPS SDN. BHD.,PULAU PINANG,Nibong Tebal,NO. 1829 LORONG INDUSTRI 3 BUKIT PANCHOR INDUSTRIAL PARK 14300 NIBONG TEBAL,,When available,,,
C & N BUSINESS SOLUTION,PULAU PINANG,Butterworth,"NO. 44, LEBUHRAYA KAPAL, 12100 BUTTERWORTH, PULAU PINANG.",,When available,,,
CHANG YEE PRINTING TRADING,PULAU PINANG,Butterworth,"NO. 4854, JALAN SIRAM, 12100",,When available,,,
CHEE KHENG CAN FACTORY SDN. BHD.,PULAU PINANG,Perai,"LOT 2843, LORONG PERUSAHAAN SATU, KAWASAN PERUSAHAAN PERAI, 13600",,When available,,,
CHEE WAH CORPORATION BERHAD,PULAU PINANG,Butterworth,"NO. 6428, LORONG MAK MANDIN TIGA, KAWASAN PERINDUSTRIAN MAK MANDIN, 13400 BUTTERWORTH, PULAU PINANG",,When available,,,
CHEONG SENG CHAN SDN. BHD.,PULAU PINANG,Simpang Ampat,"PLOT 10, LORONG INDUSTRI RINGAN SATU, JURU LIGHT INDUSTRIAL ESTATE, 14100",,When available,,,
CHETAT PLAYING CARDS SDN. BHD.,PULAU PINANG,Butterworth,"NO. 5897, LORONG MAK MANDIN LIMA, KAWASAN PERINDUSTRIAN MAK MANDIN, 13400 BUTTERWORTH, PULAU PINANG",,When available,,,
CHIAT CHEONG SDN. BHD.,PULAU PINANG,Perai,"NO. 73, CARNARVON LANE, 10100.
PLOT 235, LORONG PERUSAHAAN 8, PRAI INDUSTRIAL ESTATE, 13600.
NO. 145, LEBUH ACHEH, 10200 PULAU PINANG",,When available,,,
CH'NG GIAP THENG SDN. BHD.,PULAU PINANG,Penang,"NO. 62, JALAN RANGOON, 10400 PULAU PINANG",,When available,,,
CHOO SENG PRESS,PULAU PINANG,Penang,"NO. 401, BEACH STREET, 10300",,When available,,,
CHOP TAI SENG PRINTING SDN. BHD.,PULAU PINANG,George Town,"NO. 404 & 406, BEACH STREET, 10300",,When available,,,
CHUAH (BROTHERS) PAPER WORKS,PULAU PINANG,Penang,"NO. 232, JALAN JELUTONG, 11600 PULAU PINANG",,When available,,,
CHUAN LEE PRINTING PRESS SDN. BHD.,PULAU PINANG,Seberang Perai Selatan,"NO. 1601, JALAN PAHBOI, SIMPANG AMPAT(DEKAT BUKIT TAMBUN), 14100 SEBERANG PERAI, PULAU PINANG.",,When available,,,
CHUAN THONG INDUSTRIES SDN BHD,PULAU PINANG,Sungai Bakap,"NO. 21 & 23, LORONG SERULING 5, KAWASAN PERINDUSTRIAN VALDOR, 14200",,When available,,,
CLPG PACKAGING INDUSTRIES SDN BHD,PULAU PINANG,Bukit Mertajam,"PLOT 181, JALAN PERINDUSTRIAN BUKIT MINYAK 7, KAWASAN PERINDUSTRIAN BUKIT MINYAK, 14100",,When available,,,
COMPUGRAPHIC FORMS SDN. BHD.,PULAU PINANG,Butterworth,"NO. 6885, LORONG MAK MANDIN 3, KAWASAN PERUSAHAAN MAK MANDIN, 13400",,When available,,,
CTI DESIGN & PACKAGING SDN.BHD.,PULAU PINANG,George Town,"MENARA PERDANA, 101 LEVEL 6-03, JALAN GURDWARA, 10300 GEORGETOWN, PULAU PINANG.",,When available,,,
CX STICKER & LABEL SDN BHD,PULAU PINANG,Bukit Mertajam,"2 LORONG BINAJAYA 2, KAW. PERIND. RINGAN USAHAJAYA, PERMATANG TINGGI, 14100",,When available,,,
DAIFUJI PLASTIC INDUSTRIES SDN. BHD.,PULAU PINANG,Bayan Lepas,"NO. 9, JALAN SUNGAI TIRAM DUA, 11900 BAYAN LEPAS,",,When available,,,
DAIFUJI PLASTIC INDUSTRIES SDN. BHD.,PULAU PINANG,Bayan Lepas,"NO. 9, JALAN SUNGAI TIRAM DUA, 11900 BAYAN LEPAS,",,When available,,,
DECCA PRINTERS SDN. BHD.,PULAU PINANG,Perai,"NO. 40, JALAN SAGA JAYA, TAMAN PERINDUSTRIAN SAGA JAYA, 13600 PERAI, PULAU PINANG.",,When available,,,
DELIMAX (M) SDN. BHD.,PULAU PINANG,Penang,"NO. 2, SOLOK SUNGAI PINANG 4, 11600 PULAU PINANG",,When available,,,
DOUBLE THREE DOUBLE ONE TRADING,PULAU PINANG,George Town,"MENARA PERDANA 101-07-04,JALAN GURDWARA, 10300 GEORGETOWN,PULAU PINANG.",,When available,,,
E C PRINTING ENTERPRISE,PULAU PINANG,Bukit Mertajam,"NO. 21, LORONG ASAS MURNI 2, KAW. PERNIAGAAN ASAS MURNI, 14000 BUKIT MERTAJAM, PULAU PINANG.",,When available,,,
EASTERN PRINTERS (B.M) SDN. BHD.,PULAU PINANG,Bukit Mertajam,"LOT 10884, MK 15, JALAN ROZHAN, 14000",,When available,,,
ECLATPRINT SDN. BHD.,PULAU PINANG,George Town,"NO. 5, SOLOK SUNGAI PINANG 4, 11600 GEORGETOWN, PULAU PINANG.",,When available,,,
ENG LEAN PRINTING PRESS SDN BHD,PULAU PINANG,Butterworth,"NO. 962, 963, 964 & 965, MAIN ROAD, SUNGAI DUA, 13800",,When available,,,
ENG SIN PRINTING PRESS CO. SDN. BHD.,PULAU PINANG,Butterworth,"NO. 7039, LORONG MAK MANDIN LIMA, KAWASAN PERINDUSTRIAN MAK MANDIN, 13400",,When available,,,
ESQUEL MALAYSIA SDN.BERHAD.(PAPER PRODUCT FACTORY),PULAU PINANG,Bayan Lepas,"PLOT 1, PHASE 1V, MUKIM 12, BAYAN LEPAS INDUSTRIAL ESTATE, 11900",,When available,,,
ETHEOS IMPRINT TECHNOLOGY SDN. BHD.,PULAU PINANG,Butterworth,"LOT 603, KAWASAN PERINDUSTRIAN KAMPUNG TELUK, SUNGAI DUA, 13800",,When available,,,
EXOTIC PRINTER SDN. BHD.,PULAU PINANG,Bayan Lepas,"NO. 101-E, LINTANG KAMPUNG JAWA, KAWASAN MIEL IND. ESTATE, 11900 BAYAN LEPAS, PULAU PINANG.",,When available,,,
FADHILAT URUS SDN. BHD.,PULAU PINANG,Bukit Mertajam,"NO. 1937-F, KOMPLEKS SME BANK, JALAN IKS BUKIT MINYAK, 14000",,When available,,,
FENG SIANG PAPER INDUSTRY (M) SDN. BHD.,PULAU PINANG,Perai,"LOT 515, LORONG PERUSAHAAN BARU 2B, KAWASAN PERINDUSTRIAN PRAI, 13600 SEBERANG PRAI TENGAH, PULAU PINANG.",,When available,,,
FIRST PLASTIC INDUSTRIES SDN. BHD.,PULAU PINANG,Seberang Perai,"NO. 2405, MK. 1, TINGKAT PERUSAHAAN 3, KAWASAN PERINDUSTRIAN PERAI, 13600 SEBERANG PERAI, PULAU PINANG",,When available,,,
FORDA PRINTING SDN. BHD.,PULAU PINANG,Penang,"NO. 92-B, CHURCH STREET, 10200",,When available,,,
GENERAL LABELS & LABELLING (PENANG) SDN. BHD.,PULAU PINANG,Perai,"NO. 9, LORONG NAGASARI 4, TAMAN NAGASARI, 13600 PRAI, PULAU PINANG",,When available,,,
GEORGETOWN PRINTERS SDN. BHD.,PULAU PINANG,Prai,"NO 2509, JALAN PERUSAHAAN BARU, PRAI INDUSTRIAL COMPLEX, 13600 PRAI, PULAU PINANG",,When available,,,
GIN ENTERPRISE,PULAU PINANG,Penang,"NO. 34, JALAN PERUSAHAAN JELUTONG 1, 11600 PULAU PINANG.",,When available,,,
GO GRAPHICS DESIGN,PULAU PINANG,Seberang Perai,"NO. 53 & 55,JALAN BESAR, TAMAN REBANA,SUNGAI BAKAP, 14200 PULAU PINANG.",,When available,,,
GOLDEN FRONTIER PACKAGING SDN. BHD.,PULAU PINANG,Seberang Perai Selatan,"LOT 616, MUKIM 12, LADANG VALDOR, SUNGAI BAKAP, 14200",,When available,,,
GOODNESS LABEL PRINTING SDN. BHD.,PULAU PINANG,Bukit Mertajam,"42 & 44, LORONG USAHAJAYA SATU, KAW. PERINDUSTRIAN USAHAJAYA, PERMATANG TINGGI, 14000",,When available,,,
GS PAPER & PACKAGING SDN.BHD.,PULAU PINANG,Seberang Perai Selatan,"NO. 33, LOT 464, JALAN NAFIRI, SG. BAKAP, 14200",,When available,,,
GUANG MING RIBAO SDN BHD.,PULAU PINANG,Seberang Perai Tengah,"PLOT 19, JALAN JELAWAT 1, SEBERANG JAYA INDUSTRIAL ESTATE, 13600 SEBERANG PERAI TENGAH, PULAU PINANG.",,When available,,,
HAI CHUAN PRINTERS & PAPER PRODUCTS SDN. BHD.,PULAU PINANG,Butterworth,"NO. 5094, LORONG MAK MANDIN 6, MAK MANDIN INDUSTRIAL ESTATE, 13400",,When available,,,
HALLBERT SDN. BHD.,PULAU PINANG,Bukit Mertajam,"PLOT 209A, JALAN PERINDUSTRIAN BUKIT MINYAK, KAWASAN PERINDUSTRIAN BUKIT MINYAK, 14100 BUKIT MERTAJAM, 14100 PULAU PINANG.",,When available,,,
HER CHENG SDN. BHD.,PULAU PINANG,Perai,"NO. 1018, JALAN TALANG, TAMAN PERAI, 13600",,When available,,,
HONG HONG DOCUMENTS SDN. BHD.,PULAU PINANG,Tanjung Bunga,"NO. 115, JALAN CHAN SIEW TEONG, 11200",,When available,,,
HONG HONG PRINTING COMPANY SDN. BHD.,PULAU PINANG,Tanjung Bunga,"NO. 115, JALAN CHAN SIEW TEONG, 11200 TANJUNG BUNGA, PULAU PINANG.",,When available,,,
HONG PRINT SDN. BHD.,PULAU PINANG,George Town,"NO. 102-L, LENGKOK KAMPUNG JAWA 2, BAYAN LEPAS, 11900 PULAU PINANG.",,When available,,,
HWA SENG PRINTING,PULAU PINANG,Bukit Mertajam,"NO. 2404, JALAN KAMPUNG BARU, 14000 BUKIT MERTAJAM, PULAU PINANG.",,When available,,,
HZL BERSATU ENTERPRISE,PULAU PINANG,George Town,"NO. 107-6-11,KOMPLEKS ADORNA GOLD,JALAN GURDWARA, 10300 GEORGETOWN,PULAU PINANG.",,When available,,,
IMPLY PRINT SDN. BHD.,PULAU PINANG,Bukit Mertajam,"NO. 55, JALAN IKS, UTARIA LIGHT IND. PARK, BKT. TENGAH, 14000 BUKIT MERTAJAM,",,When available,,,
INTER PRINT PAPER PRODUCTS SDN. BHD.,PULAU PINANG,Seberang Perai Selatan,"NO. 6&8, LRG. NAFIRI 4,KAW. PERINDUSTRIAN VALDOR, 14200 SUNGAI JAWI, SEBERANG PERAI SELATAN, PULAU PINANG.",,When available,,,
IP SOFTCOM (MALAYSIA) SDN. BHD.,PULAU PINANG,Bayan Lepas,"PLOT 46, BAYAN LEPAS INDUSTRIAL ESTATE, PHASE IV, 11900 PULAU PINANG",,When available,,,
